,CustomerCode,ProductCode,Month,ID.x,SalesQuantity,GrossValue,NetValue,ProductDesc,GroupCode,GroupDesc,ManufacturerCode,ManufacturerDesc,DivisionCode,DivisionDesc,CustomerDesc,ChannelCode,ChannelDesc,SalespersonCode,SalespersonDesc,ZoneCode,ZoneDesc,RegionCode,RegionDesc,ID.y,ProductCost,DistributionCost,SalesCommission,ID,BudgetQuantity,BudgetNetValue,BudgetMarginPercent,BudgetDelta
11,1,49,201102,13264,504,721.9555,303.0372,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A F BLAKEMORE 1,0,Retail,0,Aaron Anthony,1,Miami,4,South-East,13264,90.1883,24.0262,50.3175,925,276,322.2278,0.022877,-228
12,1,49,201107,15586,144,466.8081,290.7555,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A F BLAKEMORE 1,0,Retail,0,Aaron Anthony,1,Miami,4,South-East,15586,81.7194,28.8156,47.7707,3518,451,1291.7822,0.043048,307
13,2,41,201109,16517,600,1274.4022,104.183,Mountain Fresh Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A F BLAKEMORE 2,0,Retail,0,Aaron Anthony,2,Jacksonville,4,South-East,16517,57.2669,5.6054,12.5711,4473,363,837.0552,0.041852,-237
14,2,42,201103,13965,120,312.0317,597.1641,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A F BLAKEMORE 2,0,Retail,0,Aaron Anthony,2,Jacksonville,4,South-East,13965,337.4648,37.4651,144.5353,1990,220,550.7299,0.003936,100
15,2,49,201104,14570,504,1107.2241,384.483,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A F BLAKEMORE 2,0,Retail,0,Aaron Anthony,2,Jacksonville,4,South-East,14570,86.3057,52.18,94.2746,2378,310,511.8508,0.018663,-194
16,2,49,201110,17187,384,573.9848,531.3154,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A F BLAKEMORE 2,0,Retail,0,Aaron Anthony,2,Jacksonville,4,South-East,17187,94.0536,56.0006,89.3956,5132,598,743.1972,0.046825,214
17,5,49,201102,13240,168,274.9793,243.2184,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A F BLAKEMORE 5,0,Retail,0,Aaron Anthony,5,Detroit,0,North,13240,91.3227,22.0826,40.2873,893,856,1345.792,0.059447,688
18,5,1093,201104,14573,417,685.8157,29.9343,Moisturizer for Oily Skin - Apple Scent,3,Moisturizing Cream,G,Ghanel,C,Cream,A F BLAKEMORE 5,0,Retail,0,Aaron Anthony,5,Detroit,0,North,14573,21.0721,11.7653,6.762,2380,249,217.3655,-0.003901,-168
19,6,49,201105,14993,216,321.1678,29.7553,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A G BANNERMAN LTD,0,Retail,0,Aaron Anthony,6,Milwaukee,0,North,14993,13.4713,5.74,14.3809,2760,122,223.0714,0.006897,-94
20,6,1093,201109,16627,144,147.5603,10.7304,Moisturizer for Oily Skin - Apple Scent,3,Moisturizing Cream,G,Ghanel,C,Cream,A G BANNERMAN LTD,0,Retail,0,Aaron Anthony,6,Milwaukee,0,North,16627,14.583,2.3392,1.2078,4333,159,148.7688,0.000713,15
21,10,42,201103,13941,294,927.6773,247.6127,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A R GRAY LTD 1,0,Retail,0,Aaron Anthony,10,Austin,9,South,13941,119.9266,10.4515,51.7787,1804,146,684.1061,0.014905,-148
22,10,49,201103,13898,144,292.8179,51.0896,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A R GRAY LTD 1,0,Retail,0,Aaron Anthony,10,Austin,9,South,13898,19.3226,7.4796,13.4076,1746,145,290.8848,0.007471,1
23,10,1815,201110,16790,168,656.7386,61.1388,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,A R GRAY LTD 1,0,Retail,0,Aaron Anthony,10,Austin,9,South,16790,28.9353,2.969,14.8317,5422,144,478.0413,-0.00092,-24
24,12,33,201105,15110,144,818.488,142.3983,SPF 10 Adult Sunscreen,2,Adult Sunscreen,V,LaDell Inc,B,Sunscreen,A S HILL,0,Retail,0,Aaron Anthony,12,Portland,1,North-West,15110,55.0236,8.6258,60.9982,2807,259,1253.4813,0.020592,115
25,12,34,201105,15108,150,852.5917,70.2521,SPF 12 Adult Sunscreen,2,Adult Sunscreen,V,LaDell Inc,B,Sunscreen,A S HILL,0,Retail,0,Aaron Anthony,12,Portland,1,North-West,15108,20.5663,3.7248,22.0108,2805,140,726.1599,0.025551,-10
26,12,35,201105,15112,144,818.488,38.1457,SPF 15 Adult Sunscreen,2,Adult Sunscreen,V,LaDell Inc,B,Sunscreen,A S HILL,0,Retail,0,Aaron Anthony,12,Portland,1,North-West,15112,30.277,2.6356,18.1846,2808,116,605.1332,0.017373,-28
27,12,49,201101,12867,144,303.6611,284.3207,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A S HILL,0,Retail,0,Aaron Anthony,12,Portland,1,North-West,12867,101.1461,20.5191,54.8416,505,165,211.4216,0.027689,21
28,12,49,201103,14204,144,359.606,247.7792,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A S HILL,0,Retail,0,Aaron Anthony,12,Portland,1,North-West,14204,92.9309,21.7828,45.7737,1881,242,436.3429,0.026007,98
29,12,1093,201103,13875,120,196.3366,43.3256,Moisturizer for Oily Skin - Apple Scent,3,Moisturizing Cream,G,Ghanel,C,Cream,A S HILL,0,Retail,0,Aaron Anthony,12,Portland,1,North-West,13875,42.0722,12.4529,10.795,1727,128,126.071,-0.000439,8
30,12,1815,201107,15738,144,1499.2768,177.8878,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,A S HILL,0,Retail,0,Aaron Anthony,12,Portland,1,North-West,15738,145.2656,11.8723,57.8849,3720,258,1876.9603,0.0045,114
31,14,29,201102,13450,160,276.7777,44.5778,Moisturizer for Dry Skin - Unscented,3,Moisturizing Cream,E,Roxell,C,Cream,A J GREGORY & SON 2,0,Retail,0,Aaron Anthony,14,Boise,1,North-West,13450,20.2493,7.0145,10.3771,1153,223,206.1525,0.018329,63
32,14,41,201103,14019,156,604.5101,174.2259,Mountain Fresh Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A J GREGORY & SON 2,0,Retail,0,Aaron Anthony,14,Boise,1,North-West,14019,77.6851,11.9487,34.7492,2034,122,342.0531,0.019616,-34
33,14,42,201103,13939,216,837.014,187.5881,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A J GREGORY & SON 2,0,Retail,0,Aaron Anthony,14,Boise,1,North-West,13939,215.8867,18.6589,38.926,1799,415,1155.3159,-0.007276,199
34,14,49,201102,13213,168,358.6333,265.7462,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A J GREGORY & SON 2,0,Retail,0,Aaron Anthony,14,Boise,1,North-West,13213,136.9179,27.5404,46.6508,850,221,252.3411,0.019859,53
35,14,49,201103,13748,144,359.606,328.7869,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A J GREGORY & SON 2,0,Retail,0,Aaron Anthony,14,Boise,1,North-West,13748,113.7288,25.7409,62.6553,1525,338,636.699,0.040379,194
36,14,49,201105,14792,144,279.2489,194.0448,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A J GREGORY & SON 2,0,Retail,0,Aaron Anthony,14,Boise,1,North-West,14792,49.6994,33.0675,76.3292,2538,122,218.91,0.017136,-22
37,14,49,201111,17368,360,1000.5908,189.619,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,A J GREGORY & SON 2,0,Retail,0,Aaron Anthony,14,Boise,1,North-West,17368,65.4135,28.1255,78.3617,5572,147,222.9799,0.016352,-213
38,14,1815,201111,17258,144,862.5783,243.51,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,A J GREGORY & SON 2,0,Retail,0,Aaron Anthony,14,Boise,1,North-West,17258,151.3667,11.9721,54.6934,5899,152,462.4868,-0.012034,8
39,30,49,201103,14015,216,539.409,20.1459,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 2,0,Retail,0,Aaron Anthony,30,Omaha,3,Central,14015,7.46,3.1526,6.1328,2027,121,243.2486,0.053106,-95
40,31,49,201103,14146,144,359.606,93.8753,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 3,0,Retail,0,Aaron Anthony,31,Kansas City,3,Central,14146,32.1238,12.2434,29.8811,1839,556,1018.102,0.195425,412
41,33,49,201101,12874,480,1012.2036,125.7614,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 5,0,Retail,0,Aaron Anthony,33,Denver,3,Central,12874,49.8008,12.0647,29.0383,517,220,211.4292,0.061319,-260
42,33,49,201102,13607,144,307.4,112.3605,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 5,0,Retail,0,Aaron Anthony,33,Denver,3,Central,13607,65.3317,13.2713,32.1638,1220,221,379.3818,0.146191,77
43,34,19,201107,15810,216,1115.4619,329.9726,SPF 15 Sport Sunscreen,8,Sport Sunscreen,P,SimpleSkin,B,Sunscreen,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,15810,140.9308,30.1354,66.3992,3603,203,780.2297,0.118657,-13
44,34,19,201111,17537,840,2495.7266,165.0958,SPF 15 Sport Sunscreen,8,Sport Sunscreen,P,SimpleSkin,B,Sunscreen,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,17537,89.6425,23.2027,36.6267,5730,302,488.8728,0.108727,-538
45,34,34,201104,14415,360,3454.5369,244.37,SPF 12 Adult Sunscreen,2,Adult Sunscreen,V,LaDell Inc,B,Sunscreen,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,14415,124.0074,10.9559,68.6458,2291,226,991.1445,0.038047,-134
46,34,34,201111,17496,192,1564.142,243.1598,SPF 12 Adult Sunscreen,2,Adult Sunscreen,V,LaDell Inc,B,Sunscreen,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,17496,111.427,13.8073,49.0748,5686,191,849.4863,0.0664,-1
47,34,35,201104,14416,240,2303.0246,127.2328,SPF 15 Adult Sunscreen,2,Adult Sunscreen,V,LaDell Inc,B,Sunscreen,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,14416,61.6236,4.895,26.2058,2293,141,825.9537,0.105111,-99
48,34,35,201111,17498,192,1564.142,141.9372,SPF 15 Adult Sunscreen,2,Adult Sunscreen,V,LaDell Inc,B,Sunscreen,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,17498,51.4614,5.9182,29.8158,5687,141,624.1124,0.033963,-51
49,34,42,201102,13389,240,794.9999,599.5251,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,13389,294.5601,39.061,118.1581,1076,409,730.6818,-0.006356,169
50,34,42,201108,15988,624,4699.2823,398.4884,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,15988,138.5494,43.861,60.5015,3852,129,1107.5618,0.066266,-495
51,34,49,201102,13390,288,614.7999,603.1569,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,13390,214.2846,47.8172,133.0924,1077,193,227.0979,0.058871,-95
52,34,49,201104,14414,360,1178.6067,397.6503,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,14414,125.0746,58.2726,105.2526,2290,358,794.7555,0.152878,-2
53,34,49,201106,15398,336,1393.6573,348.5968,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,15398,84.7817,44.7555,86.1036,3163,147,231.277,0.068117,-189
54,34,49,201109,16429,192,391.6547,536.2056,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,16429,238.2899,28.9327,70.6899,4204,1011,1634.0354,0.386989,819
55,34,49,201110,17000,264,588.0774,404.3748,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,17000,93.8114,49.4992,109.5264,4975,473,578.1535,0.120419,209
56,34,49,201111,17495,864,2401.418,346.545,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,17495,100.5513,44.2564,90.1374,5684,123,206.454,0.054881,-741
57,34,1815,201106,15204,144,1287.245,365.8485,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,15204,206.0202,18.5334,78.7697,3460,148,494.0594,0.004392,4
58,34,1815,201107,15744,336,3498.3125,519.665,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,15744,497.9096,30.4713,90.4493,3725,594,4234.8917,0.009537,258
59,34,1815,201110,16694,144,691.3136,461.6854,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,AAH PHARMACEUTICALS 6,0,Retail,0,Aaron Anthony,34,Colorado Springs,3,Central,16694,252.4167,29.9373,132.5578,5324,239,782.0887,-0.022168,95
60,35,49,201107,15682,360,1739.1611,89.0335,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 7,0,Retail,0,Aaron Anthony,35,Springfield,3,Central,15682,39.4543,8.6883,14.7323,3591,310,1010.2994,0.146819,-50
61,37,19,201109,16492,192,418.6654,41.2333,SPF 15 Sport Sunscreen,8,Sport Sunscreen,P,SimpleSkin,B,Sunscreen,AAH PHARMACEUTICALS 9,0,Retail,0,Aaron Anthony,37,Tulsa,3,Central,16492,30.2278,2.759,5.1023,4431,201,444.1954,0.090732,9
62,37,29,201101,12691,160,273.4113,107.5802,Moisturizer for Dry Skin - Unscented,3,Moisturizing Cream,E,Roxell,C,Cream,AAH PHARMACEUTICALS 9,0,Retail,0,Aaron Anthony,37,Tulsa,3,Central,12691,30.4122,14.6069,29.4473,267,158,157.1997,0.066415,-2
63,37,49,201101,12592,168,354.2713,242.2925,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 9,0,Retail,0,Aaron Anthony,37,Tulsa,3,Central,12592,62.8768,15.9415,28.8568,148,220,303.041,0.132782,52
64,37,49,201102,13255,336,717.2666,175.5024,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 9,0,Retail,0,Aaron Anthony,37,Tulsa,3,Central,13255,62.5474,18.0459,48.2431,915,359,410.0543,0.101641,23
65,37,49,201109,16298,144,293.7411,118.9874,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 9,0,Retail,0,Aaron Anthony,37,Tulsa,3,Central,16298,48.9465,11.3504,22.7892,4071,233,422.5905,0.114146,89
66,37,1210,201103,14275,180,968.7662,105.2337,SPF 30 Adult Sunscreen,2,Adult Sunscreen,B,Abe's Sunscreens,B,Sunscreen,AAH PHARMACEUTICALS 9,0,Retail,0,Aaron Anthony,37,Tulsa,3,Central,14275,43.158,2.6955,15.8019,1969,163,845.3546,0.213179,-17
67,38,49,201105,14890,144,227.3851,154.4454,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 10,0,Retail,0,Aaron Anthony,38,Galveston,9,South,14890,36.2168,22.7256,38.5114,2647,104,173.3804,0.004608,-40
68,39,49,201101,12752,480,1012.2036,188.6326,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 11,0,Retail,0,Aaron Anthony,39,Lincoln,3,Central,12752,50.6143,17.5111,34.3092,363,137,174.0646,0.071024,-343
69,39,49,201109,16417,120,244.7842,178.9676,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 11,0,Retail,0,Aaron Anthony,39,Lincoln,3,Central,16417,53.5487,11.9818,23.5246,4199,571,993.84,0.257647,451
70,42,49,201110,16972,678,551.2228,416.3671,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 14,0,Retail,0,Aaron Anthony,42,Tampa,4,South-East,16972,126.467,344.0124,203.5953,4937,2800,3149.4688,0.012941,2122
71,43,49,201105,14911,2824,1999.4669,418.7026,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 15,0,Retail,0,Aaron Anthony,43,Tallahassee,4,South-East,14911,96.3064,350.6821,161.0474,2675,1370,2887.7641,0.019343,-1454
72,43,49,201111,17460,1469,1490.1936,509.5828,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 15,0,Retail,0,Aaron Anthony,43,Tallahassee,4,South-East,17460,106.1516,393.1784,166.5157,5655,2206,2178.7595,0.00682,737
73,44,49,201105,14794,1808,1552.8385,199.9512,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 16,0,Retail,0,Aaron Anthony,44,Memphis,9,South,14794,67.2126,123.4567,38.071,2542,2741,3587.1251,0.005741,933
74,45,49,201101,12787,1130,869.705,165.8698,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 17,0,Retail,0,Aaron Anthony,45,Atlanta,4,South-East,12787,84.8027,98.8424,31.3292,415,3088,3098.7784,0.024807,1958
75,46,42,201111,17650,508,800.4355,863.2091,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,AAH PHARMACEUTICALS 18,0,Retail,0,Aaron Anthony,46,Charleston,4,South-East,17650,331.4933,332.1725,203.4387,5845,3365,6765.1941,0.007247,2857
76,50,29,201106,15479,1130,2065.8239,93.0736,Moisturizer for Dry Skin - Unscented,3,Moisturizing Cream,E,Roxell,C,Cream,AAH PHARMACEUTICALS 22,0,Retail,0,Aaron Anthony,50,Tuscon,5,South-West,15479,38.1864,81.4209,15.7432,3286,1835,2010.4541,0.020787,705
77,50,49,201102,13573,2598,3017.6988,806.307,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 22,0,Retail,0,Aaron Anthony,50,Tuscon,5,South-West,13573,404.7273,437.0684,86.9034,1188,1553,2067.3793,0.024465,-1045
78,50,49,201109,16584,565,626.872,949.0762,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 22,0,Retail,0,Aaron Anthony,50,Tuscon,5,South-West,16584,425.1146,252.243,95.1259,4286,1458,2308.1872,0.020681,893
79,52,29,201101,12812,1158,1076.5324,135.4784,Moisturizer for Dry Skin - Unscented,3,Moisturizing Cream,E,Roxell,C,Cream,AAH PHARMACEUTICALS 24,0,Retail,0,Aaron Anthony,52,San Jose,5,South-West,12812,42.6464,84.5343,23.3802,436,3220,3122.1783,0.049503,2062
80,52,49,201101,12767,565,648.0423,1231.3776,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AAH PHARMACEUTICALS 24,0,Retail,0,Aaron Anthony,52,San Jose,5,South-West,12767,299.5227,503.8201,118.7799,388,6176,7689.2775,0.118546,5611
81,52,1815,201109,16156,678,1621.2208,480.8165,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,AAH PHARMACEUTICALS 24,0,Retail,0,Aaron Anthony,52,San Jose,5,South-West,16156,353.5419,77.6644,46.0114,4616,3808,12125.3202,-0.049992,3130
82,53,49,201105,14967,678,715.1331,132.2958,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,ABERDEEN UNIVERSITY,0,Retail,0,Aaron Anthony,53,San Diego,5,South-West,14967,46.78,103.5927,28.4079,2741,1645,2869.7001,0.026473,967
83,54,49,201109,16406,1356,1504.4929,454.6672,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,ACORN PHARMACY,0,Retail,0,Aaron Anthony,54,Las Vegas,5,South-West,16406,213.9085,171.943,62.4767,4185,1458,2564.5418,0.025916,102
84,54,49,201111,17482,678,1024.972,397.3826,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,ACORN PHARMACY,0,Retail,0,Aaron Anthony,54,Las Vegas,5,South-West,17482,160.7235,339.8465,95.992,5671,2206,2706.4132,0.016334,1528
85,55,49,201103,13890,678,920.9211,1411.1863,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,ADULT SUNCARE RETURN,0,Retail,0,Aaron Anthony,55,San Francisco,5,South-West,13890,440.586,432.8071,106.9992,1739,1630,3177.5465,0.025844,952
86,55,49,201110,16999,678,821.4641,860.9477,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,ADULT SUNCARE RETURN,0,Retail,0,Aaron Anthony,55,San Francisco,5,South-West,16999,225.0675,386.6507,121.9002,4973,4480,6715.8694,0.074586,3802
87,55,1815,201110,16800,678,1770.3967,322.0638,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,ADULT SUNCARE RETURN,0,Retail,0,Aaron Anthony,55,San Francisco,5,South-West,16800,237.718,109.5842,84.7645,5530,1615,4386.548,-0.022802,937
88,100,42,201102,13590,240,647.3479,161.948,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,AGRIMARK LTD,1,Independents,0,Aaron Anthony,0,New Orleans,9,South,13590,129.1615,11.4915,24.4354,1209,556,876.7938,-0.010108,316
89,100,49,201102,13591,456,792.6416,131.2749,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AGRIMARK LTD,1,Independents,0,Aaron Anthony,0,New Orleans,9,South,13591,43.8195,14.3679,20.2481,1210,332,452.0205,0.016804,-124
90,101,42,201103,13842,240,624.0635,91.0819,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,AIR INDIA,1,Independents,0,Aaron Anthony,1,Miami,4,South-East,13842,93.6701,10.2186,21.7675,1679,317,596.6241,-0.014792,77
91,101,49,201102,13453,240,343.7883,69.0599,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AIR INDIA,1,Independents,0,Aaron Anthony,1,Miami,4,South-East,13453,39.4956,8.5401,14.9459,1154,166,152.3577,0.008006,-74
92,101,1815,201110,16787,176,566.9749,62.2842,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,AIR INDIA,1,Independents,0,Aaron Anthony,1,Miami,4,South-East,16787,44.7,4.5605,15.3134,5416,179,360.2166,-0.017741,3
93,102,49,201102,13589,360,515.6825,74.5709,Vanilla Scented Liquid Soap,1,Hand Soap,I,Super Soaps,A,Soap,AIR INDIA,1,Independents,0,Aaron Anthony,2,Jacksonville,4,South-East,13589,39.0647,13.0172,15.2729,1208,304,262.8535,0.012379,-56
